"","Team","Knockout","Semifinal","Final","Champion"
"1","Argentina",0.9365,0.73,0.5621,0.3515
"2","Brazil",0.9115,0.6248,0.3947,0.2189
"3","Colombia",0.7754,0.4303,0.2002,0.0951
"4","Uruguay",0.7931,0.3816,0.1893,0.0876
"5","United States",0.7931,0.3718,0.1659,0.075
"6","Ecuador",0.6824,0.3088,0.1313,0.0558
"7","Mexico",0.7103,0.3179,0.1221,0.0458
"8","Canada",0.3838,0.1864,0.0577,0.0207
"9","Peru",0.3962,0.1635,0.0402,0.0119
"10","Venezuela",0.3724,0.1139,0.0371,0.0113
"11","Chile",0.2835,0.1225,0.034,0.01
"12","Panama",0.2944,0.0793,0.0231,0.0071
"13","Paraguay",0.198,0.065,0.0186,0.0038
"14","Jamaica",0.2349,0.057,0.0155,0.0034
"15","Costa Rica",0.1151,0.0278,0.0049,0.0014
"16","Bolivia",0.1194,0.0194,0.0033,0.0007
