"","Team","Knockout","Quarterfinal","Semifinal","Final","Champion"
"1","Spain",0.9071,0.6611,0.4239,0.2604,0.1528
"2","France",0.8463,0.6166,0.3875,0.2402,0.141
"3","England",0.9087,0.6373,0.3894,0.228,0.1371
"4","Portugal",0.9334,0.6304,0.4079,0.2374,0.1352
"5","Belgium",0.9447,0.6351,0.3549,0.1928,0.1023
"6","Netherlands",0.7718,0.4797,0.2468,0.1177,0.0554
"7","Croatia",0.7897,0.4619,0.2393,0.1146,0.0493
"8","Italy",0.744,0.4185,0.2142,0.0973,0.0434
"9","Denmark",0.8329,0.4304,0.1942,0.0875,0.0361
"10","Germany",0.8459,0.404,0.1831,0.0829,0.0323
"11","Serbia",0.7365,0.3266,0.1346,0.0501,0.0178
"12","Hungary",0.6671,0.2781,0.1131,0.0465,0.0175
"13","Austria",0.5371,0.2682,0.1114,0.0451,0.0168
"14","Ukraine",0.6487,0.247,0.0946,0.0346,0.0117
"15","Czech Republic",0.6172,0.2192,0.0895,0.0314,0.0105
"16","Switzerland",0.5623,0.2086,0.0773,0.0282,0.0097
"17","Scotland",0.5978,0.1951,0.0697,0.0269,0.0078
"18","Poland",0.5125,0.2125,0.0721,0.0246,0.0074
"19","Turkey",0.6583,0.1941,0.0639,0.0192,0.0064
"20","Slovakia",0.5269,0.1365,0.0377,0.011,0.0036
"21","Romania",0.54,0.1546,0.0467,0.0119,0.003
"22","Georgia",0.4605,0.1048,0.0276,0.0069,0.002
"23","Albania",0.2246,0.0637,0.0186,0.0046,0.0009
"24","Slovenia",0.186,0.016,0.002,0.0002,0
