"player","team","pos","min","obpm","dbpm","bpm","role"
"Vinicius Júnior","Real Madrid","FW",20.7,0.216,0.042,0.258,3
"Filip Jørgensen","Villarreal","GK",36,0.026,0.205,0.231,-1
"Iñaki Williams","Athletic Club","FW",31.6,0.155,0.06,0.214,3
"Álex Remiro","Real Sociedad","GK",36.4,0.011,0.201,0.212,-1
"Luís Maximiano","Almeria","GK",33,0.024,0.183,0.207,-1
"David Soria","Getafe","GK",37.9,0.014,0.192,0.206,-1
"Rui Silva","Real Betis","GK",27.5,0.013,0.19,0.203,-1
"Marc-André ter Stegen","Barcelona","GK",28,0.017,0.182,0.199,-1
"Rodrygo","Real Madrid","FW",26.4,0.16,0.035,0.195,3
"Augusto Batalla","Granada","GK",17,0.021,0.175,0.195,-1
"Álvaro Vallés","Las Palmas","GK",36.3,-0.002,0.195,0.194,-1
"Álvaro Morata","Atletico Madrid","FW",21.2,0.147,0.039,0.185,3
"Unai Simón","Athletic Club","GK",35.4,0.011,0.173,0.184,-1
"Robert Lewandowski","Barcelona","FW",30.6,0.14,0.043,0.183,3
"Mason Greenwood","Getafe","MF,FW",29.6,0.16,0.015,0.175,2.33333333333333
"Jeremías Ledesma","Cadiz","GK",33.9,-0.001,0.176,0.175,-1
"Vicente Guaita","Celta Vigo","GK",26.7,0.014,0.16,0.174,-1
"Giorgi Mamardashvili","Valencia","GK",36.5,0.009,0.163,0.172,-1
"Kiké","Alaves","FW,MF",15.8,0.16,0.012,0.171,2.66666666666667
"Ørjan Nyland","Sevilla","GK",24,0.01,0.161,0.171,-1
"Alexander Sørloth","Villarreal","FW",27.7,0.151,0.018,0.17,3
"Samuel Lino","Atletico Madrid","DF,MF",23.1,0.178,-0.009,0.169,1.33333333333333
"André Ferreira","Granada","GK",14.9,0.021,0.148,0.169,-1
"Jan Oblak","Atletico Madrid","GK",38,0,0.169,0.168,-1
"Predrag Rajković","Mallorca","GK",36,-0.016,0.182,0.166,-1
"Sergio Ramos","Sevilla","DF",28,0.107,0.056,0.163,1
"Florian Lejeune","Rayo Vallecano","DF",37,0.119,0.044,0.163,1
"Paulo Gazzaniga","Girona","GK",38,0.001,0.161,0.162,-1
"Sergio Herrera","Osasuna","GK",31.9,-0.011,0.173,0.162,-1
"Stole Dimitrievski","Rayo Vallecano","GK",37,-0.012,0.173,0.162,-1
"Jørgen Strand Larsen","Celta Vigo","FW",31.8,0.126,0.031,0.157,3
"Antonio Sivera","Alaves","GK",34,-0.004,0.157,0.153,-1
"Nico Williams","Athletic Club","FW",25.1,0.092,0.058,0.151,3
"Andriy Lunin","Real Madrid","GK",21,-0.019,0.166,0.147,-1
