"date","team","opponent","team_score","opponent_score","tournament","type"
"2021-08-21","El Salvador","Costa Rica",0,0,"Friendly",0.5
"2021-08-22","Niger","Sudan",2,1,"Friendly",0.5
"2021-08-26","Sudan","Niger",3,0,"Friendly",0.5
"2021-08-26","Ethiopia","Sierra Leone",0,0,"Friendly",1
"2021-08-29","Ethiopia","Uganda",2,1,"Friendly",1
"2021-09-01","Bahrain","Haiti",6,1,"Friendly",1
"2021-09-01","Comoros","Seychelles",7,1,"Friendly",1
"2021-09-01","Finland","Wales",0,0,"Friendly",1
"2021-09-01","Qatar","Serbia",0,4,"Friendly",0.5
"2021-09-01","Switzerland","Greece",2,1,"Friendly",1
"2021-09-01","Central African Republic","Cape Verde",1,1,"FIFA World Cup qualification",0.5
"2021-09-01","Mali","Rwanda",1,0,"FIFA World Cup qualification",0.5
"2021-09-01","Egypt","Angola",1,0,"FIFA World Cup qualification",1
"2021-09-01","Libya","Gabon",2,1,"FIFA World Cup qualification",1
"2021-09-01","Senegal","Togo",2,0,"FIFA World Cup qualification",1
"2021-09-01","Guinea-Bissau","Guinea",1,1,"FIFA World Cup qualification",0.5
"2021-09-01","Portugal","Republic of Ireland",2,1,"FIFA World Cup qualification",1
"2021-09-01","Luxembourg","Azerbaijan",2,1,"FIFA World Cup qualification",1
"2021-09-01","Kazakhstan","Ukraine",2,2,"FIFA World Cup qualification",1
"2021-09-01","France","Bosnia and Herzegovina",1,1,"FIFA World Cup qualification",1
"2021-09-01","Faroe Islands","Israel",0,4,"FIFA World Cup qualification",1
"2021-09-01","Denmark","Scotland",2,0,"FIFA World Cup qualification",1
"2021-09-01","Moldova","Austria",0,2,"FIFA World Cup qualification",1
"2021-09-01","Norway","Netherlands",1,1,"FIFA World Cup qualification",1
"2021-09-01","Latvia","Gibraltar",3,1,"FIFA World Cup qualification",1
"2021-09-01","Turkey","Montenegro",2,2,"FIFA World Cup qualification",1
"2021-09-01","Malta","Cyprus",3,0,"FIFA World Cup qualification",1
"2021-09-01","Slovenia","Slovakia",1,1,"FIFA World Cup qualification",1
"2021-09-01","Russia","Croatia",0,0,"FIFA World Cup qualification",1
"2021-09-02","Kyrgyzstan","Palestine",1,0,"Three Nations Cup",1
"2021-09-02","Nepal","India",1,1,"Friendly",1
"2021-09-02","Niger","Burkina Faso",0,2,"FIFA World Cup qualification",0.5
"2021-09-02","Algeria","Djibouti",8,0,"FIFA World Cup qualification",1
"2021-09-02","Kenya","Uganda",0,0,"FIFA World Cup qualification",1
"2021-09-02","Namibia","Congo",1,1,"FIFA World Cup qualification",0.5
"2021-09-02","Morocco","Sudan",2,0,"FIFA World Cup qualification",1
"2021-09-02","DR Congo","Tanzania",1,1,"FIFA World Cup qualification",1
"2021-09-02","Madagascar","Benin",0,1,"FIFA World Cup qualification",1
