"player","team","pos","min","obpm","dbpm","bpm","role"
"Darwin Núñez","Liverpool","FW",22.7,0.333,0.023,0.356,3
"Mohamed Salah","Liverpool","FW",28.2,0.288,0.022,0.31,3
"Erling Haaland","Manchester City","FW",28.4,0.271,0.037,0.307,3
"Bukayo Saka","Arsenal","FW",32.4,0.216,0.083,0.299,3
"Emiliano Martínez","Aston Villa","GK",33.5,0.021,0.25,0.271,0
"Mark Flekken","Brentford","GK",36.5,0.021,0.244,0.265,0
"Ederson","Manchester City","GK",30.9,0.006,0.258,0.264,0
"Ollie Watkins","Aston Villa","FW",35.7,0.249,0.015,0.264,3
"Phil Foden","Manchester City","FW,MF",31.7,0.2,0.049,0.249,2.66666666666667
"Luis Díaz","Liverpool","FW",29.2,0.225,0.024,0.249,3
"Virgil van Dijk","Liverpool","DF",35.3,0.086,0.162,0.248,1
"Lewis Dunk","Brighton & Hove Albion","DF",31.9,0.062,0.186,0.247,1
"Wes Foderingham","Sheffield United","GK",29.4,0.002,0.239,0.241,0
"Dominic Solanke","Bournemouth","FW",36.9,0.214,0.025,0.239,3
"Kai Havertz","Arsenal","MF,FW",29.3,0.166,0.072,0.238,2.33333333333333
"David Raya","Arsenal","GK",32,-0.017,0.251,0.234,0
"Gabriel Martinelli","Arsenal","FW",22.4,0.184,0.048,0.232,3
"Bart Verbruggen","Brighton & Hove Albion","GK",21,-0.013,0.244,0.232,0
"Jeremy Doku","Manchester City","FW,MF",17.7,0.229,0.001,0.229,2.66666666666667
"Alexander Isak","Newcastle United","FW",25.1,0.232,-0.006,0.226,3
"Alisson","Liverpool","GK",28,-0.002,0.227,0.225,0
"Guglielmo Vicario","Tottenham Hotspur","GK",38,0.001,0.222,0.223,0
"Gabriel Jesus","Arsenal","FW",16.4,0.199,0.02,0.219,3
"Đorđe Petrović","Chelsea","GK",22.1,-0.004,0.222,0.218,0
"Nicolas Jackson","Chelsea","FW",31.1,0.214,0.003,0.217,3
"Alejandro Garnacho","Manchester United","FW",28.5,0.242,-0.025,0.217,3
"Julián Álvarez","Manchester City","MF,FW",29.4,0.173,0.043,0.216,2.33333333333333
"Fabian Schär","Newcastle United","DF",33.9,0.07,0.144,0.215,1
"Gabriel Magalhães","Arsenal","DF",33.8,0.023,0.191,0.213,1
"Cole Palmer","Chelsea","FW,MF",29,0.203,0.009,0.212,2.66666666666667
"André Onana","Manchester United","GK",38,-0.002,0.213,0.211,0
"Neto","Bournemouth","GK",32,-0.008,0.219,0.211,0
"Bernd Leno","Fulham","GK",38,-0.009,0.219,0.21,0
"Thiago Silva","Chelsea","DF",28.1,0.055,0.149,0.204,1
"Leandro Trossard","Arsenal","FW,MF",18.3,0.169,0.03,0.2,2.66666666666667
"Matt Turner","Nottingham Forest","GK",17,-0.015,0.21,0.195,0
"João Pedro","Brighton & Hove Albion","FW,MF",22.7,0.201,-0.008,0.193,2.66666666666667
"James Trafford","Burnley","GK",28,-0.041,0.235,0.193,0
"Chris Wood","Nottingham Forest","FW",20.1,0.182,0.009,0.191,3
"Cody Gakpo","Liverpool","FW,MF",18.3,0.183,0.007,0.19,2.66666666666667
"Robert Sánchez","Chelsea","GK",15.9,-0.02,0.206,0.186,0
"Son Heung-min","Tottenham Hotspur","FW",32.6,0.2,-0.016,0.184,3
"Richarlison","Tottenham Hotspur","FW",16.6,0.227,-0.043,0.184,3
"Anthony Elanga","Nottingham Forest","FW,MF",27,0.152,0.032,0.183,2.66666666666667
"Anthony Gordon","Newcastle United","FW",32.1,0.175,0.006,0.181,3
"Martin Ødegaard","Arsenal","MF",34.3,0.1,0.08,0.18,2
"Jordan Pickford","Everton","GK",38,-0.009,0.189,0.18,0
"Murillo","Nottingham Forest","DF",31,0.035,0.146,0.18,1
"Rodrigo Muniz","Fulham","FW",17.7,0.227,-0.049,0.178,3
"Jason Steele","Brighton & Hove Albion","GK",17,-0.034,0.211,0.177,0
"Thomas Kaminski","Luton Town","GK",37.8,-0.009,0.184,0.175,0
"Raheem Sterling","Chelsea","FW,MF",22,0.193,-0.021,0.173,2.66666666666667
"Antoine Semenyo","Bournemouth","FW",23.4,0.184,-0.01,0.173,3
"José Sá","Wolverhampton Wanderers","GK",33.7,-0.037,0.206,0.169,0
